player_id,game_id,stl,blk
2544,21900002,1,1
2730,21900002,0,1
101150,21900002,1,0
201580,21900002,0,2
201976,21900002,0,1
201980,21900002,2,1
202695,21900002,2,1
203076,21900002,1,2
203090,21900002,4,2
1626149,21900002,1,1
201143,21900008,1,0
202699,21900008,2,0
203954,21900008,0,3
1626196,21900008,1,2
1627759,21900008,1,0
1628369,21900008,2,0
1628464,21900008,0,1
1629057,21900008,1,1
1629680,21900008,2,2
2544,21900054,0,1
2730,21900054,1,2
201162,21900054,1,0
201580,21900054,0,1
201980,21900054,1,0
202340,21900054,2,0
203076,21900054,0,2
203484,21900054,0,1
203524,21900054,2,1
1626188,21900054,1,0
1627936,21900054,3,1
1628415,21900054,1,0
1628960,21900054,2,0
1628991,21900054,1,0
1629001,21900054,1,0
1629630,21900054,2,0
1629634,21900054,1,1
1629741,21900054,0,1
201144,21900063,2,0
201145,21900063,3,1
201976,21900063,1,0
202334,21900063,0,1
203210,21900063,0,1
203497,21900063,1,2
204060,21900063,2,0
1626144,21900063,1,1
1626149,21900063,0,1
1626220,21900063,1,0
1627826,21900063,0,2
1628378,21900063,2,0
1629013,21900063,1,0
1629611,21900063,1,0
201143,21900110,2,1
201144,21900110,2,1
202711,21900110,1,1
203497,21900110,3,1
203526,21900110,3,0
203954,21900110,0,2
1626196,21900110,3,0
1626220,21900110,1,1
1627732,21900110,1,0
1628378,21900110,1,0
1628396,21900110,1,0
201571,21900133,1,0
202696,21900133,1,2
203082,21900133,1,0
203095,21900133,0,1
203200,21900133,1,0
203487,21900133,0,1
203932,21900133,0,1
203933,21900133,1,0
203960,21900133,1,0
204456,21900133,0,1
1627734,21900133,1,1
1627763,21900133,1,0
1628365,21900133,1,0
1628371,21900133,0,2
1628388,21900133,0,1
1628964,21900133,1,4
1628988,21900133,1,0
101139,21900185,1,0
202397,21900185,1,1
202696,21900185,0,1
202722,21900185,2,0
202738,21900185,2,0
203078,21900185,1,0
203082,21900185,2,0
203095,21900185,1,0
1628365,21900185,1,0
1628411,21900185,1,1
1628418,21900185,0,1
1628964,21900185,0,1
202684,21900189,0,1
202694,21900189,1,2
203944,21900189,2,1
1626171,21900189,1,1
1628373,21900189,1,0
1628995,21900189,1,0
1629011,21900189,0,4
1629628,21900189,2,2
1629645,21900189,1,0
1629731,21900189,1,0
201144,21900210,1,0
202711,21900210,1,0
203476,21900210,1,3
203496,21900210,2,3
203497,21900210,0,5
204060,21900210,2,0
1626144,21900210,1,0
1626157,21900210,0,1
1626220,21900210,2,0
1628378,21900210,0,1
1629006,21900210,1,1
1629103,21900210,0,1
1629633,21900210,1,0
201565,21900241,0,1
202693,21900241,1,1
203083,21900241,0,1
203095,21900241,2,0
204038,21900241,1,0
1626174,21900241,1,1
1628365,21900241,3,0
1628371,21900241,1,4
1628379,21900241,1,1
1628964,21900241,2,3
1628971,21900241,1,0
1629004,21900241,1,0
201571,21900269,2,0
202329,21900269,2,0
203082,21900269,0,2
203095,21900269,2,0
203920,21900269,1,3
203932,21900269,2,1
1626178,21900269,1,0
1626181,21900269,2,1
1627783,21900269,1,1
1627832,21900269,7,0
1628365,21900269,1,1
1628371,21900269,0,2
1628384,21900269,3,0
1628449,21900269,1,2
1628964,21900269,0,2
1629056,21900269,1,0
101150,21900276,1,0
200746,21900276,1,4
200752,21900276,1,0
201942,21900276,3,0
201988,21900276,1,0
202695,21900276,2,1
203090,21900276,3,2
1626149,21900276,0,1
1626168,21900276,1,0
1627749,21900276,1,0
1627751,21900276,0,4
1629611,21900276,0,1
203476,21900286,1,2
203496,21900286,1,1
203524,21900286,1,0
203894,21900286,1,0
203952,21900286,1,2
203998,21900286,3,0
1626145,21900286,1,1
1628960,21900286,1,0
1628966,21900286,1,0
1628991,21900286,0,1
1629001,21900286,2,1
1629006,21900286,1,1
1629633,21900286,1,0
1713,21900295,1,1
202323,21900295,1,0
203458,21900295,2,0
203922,21900295,0,1
203953,21900295,2,1
1626161,21900295,2,2
1626172,21900295,0,2
1627737,21900295,1,0
1627745,21900295,1,0
1627761,21900295,3,1
1627820,21900295,1,0
1629016,21900295,2,1
1629065,21900295,3,1
1629629,21900295,1,1
1629631,21900295,1,0
1629673,21900295,3,1
201571,21900308,1,0
201937,21900308,1,0
203082,21900308,2,0
203095,21900308,1,0
203920,21900308,1,0
203932,21900308,1,0
1626162,21900308,2,0
1626163,21900308,1,0
