player_id,game_id,fgm,fga,pts
1627751,21900276,3,4,6
1627826,21900276,3,5,8
1627854,21900276,4,8,12
1628401,21900276,6,10,17
1628476,21900276,0,1,0
1629010,21900276,3,7,8
1629234,21900276,0,1,0
201952,21900286,2,4,13
203109,21900286,4,11,12
203476,21900286,1,4,3
203496,21900286,4,9,13
203524,21900286,4,10,11
203894,21900286,1,1,4
203952,21900286,6,17,18
203998,21900286,5,14,12
1626145,21900286,5,9,12
1626157,21900286,7,20,21
1626203,21900286,1,5,6
1628415,21900286,9,18,26
1628960,21900286,4,9,13
1628966,21900286,4,7,10
1628991,21900286,5,10,12
1629001,21900286,2,10,9
1629006,21900286,1,6,5
1629633,21900286,6,12,14
1629634,21900286,0,3,0
1629741,21900286,3,6,8
1713,21900295,2,5,6
202323,21900295,3,5,8
202692,21900295,5,16,15
203458,21900295,5,7,11
203922,21900295,3,12,6
203953,21900295,4,15,8
1626161,21900295,2,4,4
1626172,21900295,1,3,2
1627737,21900295,4,11,8
1627745,21900295,6,8,16
1627761,21900295,2,5,5
1628981,21900295,0,1,0
1629016,21900295,4,11,10
1629027,21900295,10,19,24
1629065,21900295,5,10,10
1629629,21900295,3,10,8
1629631,21900295,6,14,18
1629672,21900295,9,11,24
1629673,21900295,0,5,0
201571,21900308,2,8,11
201937,21900308,2,9,4
203082,21900308,7,14,22
203095,21900308,9,15,21
203705,21900308,0,1,1
203920,21900308,3,4,7
203932,21900308,13,15,32
203967,21900308,3,7,10
1626162,21900308,3,8,8
1626163,21900308,10,12,23
1626164,21900308,7,16,17
1627767,21900308,6,8,16
1628365,21900308,6,12,13
1628371,21900308,3,9,7
1628411,21900308,2,2,4
1628964,21900308,4,4,10
1628969,21900308,5,8,15
1628975,21900308,0,3,0
1628982,21900308,0,1,0
1629059,21900308,1,2,4
1629660,21900308,2,6,5
1629661,21900308,4,9,12
2544,21900329,11,23,31
2546,21900329,4,13,15
2730,21900329,1,1,5
200765,21900329,2,2,6
201580,21900329,6,7,13
201980,21900329,1,3,3
202355,21900329,8,12,17
203076,21900329,12,21,39
203081,21900329,9,18,29
203145,21900329,3,9,10
203468,21900329,5,13,15
203484,21900329,1,3,5
203584,21900329,3,5,9
203918,21900329,0,1,0
1626188,21900329,1,3,2
1626209,21900329,1,4,4
1627746,21900329,3,4,6
1627936,21900329,2,4,8
1628398,21900329,6,13,15
1629014,21900329,5,10,15
1629642,21900329,1,2,2
201143,21900332,3,4,8
201567,21900332,2,7,6
202684,21900332,5,10,12
202688,21900332,3,7,7
202699,21900332,6,10,15
203089,21900332,3,7,6
203118,21900332,9,12,21
203124,21900332,5,10,10
203504,21900332,9,12,21
203516,21900332,3,6,8
203521,21900332,2,4,4
203526,21900332,4,6,9
203658,21900332,2,3,5
203903,21900332,3,7,10
1626204,21900332,1,4,3
1626224,21900332,1,2,2
1627732,21900332,12,14,34
1627788,21900332,2,5,5
1627790,21900332,2,3,5
1628035,21900332,2,7,5
1629003,21900332,2,6,5
1629012,21900332,3,13,10
1629636,21900332,7,20,17
1629645,21900332,2,5,7
1629680,21900332,0,2,0
101150,21900343,2,19,6
201976,21900343,5,7,11
202331,21900343,10,26,36
202335,21900343,1,5,5
203087,21900343,5,12,12
203090,21900343,3,8,8
203200,21900343,1,9,3
203926,21900343,6,9,17
203933,21900343,2,8,12
204456,21900343,3,9,8
1626149,21900343,12,21,26
1626167,21900343,2,9,5
1627734,21900343,7,18,18
1627763,21900343,7,15,20
1627826,21900343,5,7,13
1628410,21900343,0,1,0
1628476,21900343,1,2,3
1628988,21900343,1,7,4
1629010,21900343,1,2,2
101133,21900352,3,5,9
201587,21900352,0,2,0
202397,21900352,6,13,13
202687,21900352,4,6,13
202722,21900352,11,18,32
203077,21900352,2,5,4
203078,21900352,6,19,16
203469,21900352,5,6,14
1626179,21900352,5,14,17
1628370,21900352,2,6,6
1628970,21900352,6,14,16
1628972,21900352,0,4,4
1628984,21900352,9,19,29
1629021,21900352,3,7,9
1629023,21900352,5,13,15
1629060,21900352,7,16,18
1629067,21900352,0,3,0
1629185,21900352,2,5,6
200746,21900396,7,14,19
200752,21900396,4,9,12
200757,21900396,0,2,0
200782,21900396,3,6,9
201158,21900396,0,5,0
201566,21900396,11,25,31
201935,21900396,10,29,28
201942,21900396,5,13,12
201988,21900396,1,4,4
203085,21900396,1,5,2
203463,21900396,6,11,17
203991,21900396,7,9,15
1626168,21900396,3,6,8
1627749,21900396,8,15,16
1627751,21900396,1,3,2
1627854,21900396,6,12,18
1627863,21900396,2,8,4
1628401,21900396,4,9,16
1629022,21900396,0,1,0
1629109,21900396,0,3,3
200794,21900414,4,9,15
201571,21900414,4,9,18
202696,21900414,7,16,20
203082,21900414,3,8,8
203095,21900414,4,10,13
203115,21900414,4,11,9
203486,21900414,3,6,9
203487,21900414,3,4,6
203914,21900414,3,7,9
203924,21900414,3,8,8
203932,21900414,4,14,9
203999,21900414,7,14,18
1627736,21900414,1,2,3
1627750,21900414,11,19,33
1628365,21900414,4,10,10
1628371,21900414,3,6,7
1628411,21900414,1,1,4
1628420,21900414,2,4,5
1628470,21900414,0,1,0
1628964,21900414,4,9,9
1629008,21900414,2,3,4
2546,21900428,1,6,5
201229,21900428,1,2,3
201571,21900428,6,16,17
202355,21900428,3,9,10
202696,21900428,9,20,23
203081,21900428,13,21,36
203082,21900428,3,11,9
203095,21900428,7,17,16
203145,21900428,4,8,11
203468,21900428,12,20,31
203487,21900428,0,2,0
203920,21900428,0,1,0
203932,21900428,4,17,11
1626209,21900428,0,2,0
1627746,21900428,2,4,8
1628365,21900428,4,7,10
1628371,21900428,3,9,10
1628411,21900428,1,3,2
1628964,21900428,1,2,2
1628982,21900428,1,1,3
1629014,21900428,4,8,8
1629018,21900428,2,4,6
200755,21900459,5,10,15
200794,21900459,0,2,0
201950,21900459,8,18,20
202324,21900459,3,9,8
202734,21900459,4,8,10
203115,21900459,4,9,10
203486,21900459,2,4,4
203914,21900459,6,13,15
203924,21900459,6,10,17
203999,21900459,8,20,23
1626143,21900459,0,1,0
1627736,21900459,5,14,13
1627742,21900459,11,18,31
1627750,21900459,2,10,8
1628366,21900459,4,13,10
1628402,21900459,0,1,0
1628404,21900459,5,10,16
1628420,21900459,2,7,5
1629008,21900459,2,3,5
1629026,21900459,0,1,0
1629637,21900459,1,1,2
101108,21900503,7,15,17
201568,21900503,8,14,20
203457,21900503,5,9,12
203471,21900503,7,17,20
203500,21900503,4,7,10
203552,21900503,3,13,9
203939,21900503,3,5,11
1626153,21900503,2,7,7
1626246,21900503,2,4,4
1627827,21900503,1,8,6
1627846,21900503,1,2,2
1628382,21900503,2,8,8
1628390,21900503,0,3,0
1628467,21900503,5,10,14
1628973,21900503,3,9,7
1628977,21900503,1,4,4
1628983,21900503,6,15,19
1629029,21900503,12,29,35
1629647,21900503,0,5,2
101133,21900504,1,2,2
201571,21900504,7,15,25
202397,21900504,4,10,10
202696,21900504,8,20,20
202738,21900504,3,10,9
203078,21900504,8,20,27
203082,21900504,6,10,15
203095,21900504,7,16,18
203705,21900504,0,1,0
