name,dist,value,made,desc,team,opp,x,y,player_id,event_id,zone,area,date,team,opp,running,jump,hook,layup,driving,dunk,alley,reverse,turnaround,fadeaway,bank,finger,putback,float,pullup,step,cutting,tip,game_id,date,period,min_left,sec_left
L. James,10,2,False,Pullup Jump shot,LAC,LAL,5,109,2544,129,8-16 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,1,3,51
J. Green,27,3,True,Jump Shot,LAC,LAL,214,168,203210,144,24+ ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,3,10
T. Daniels,23,3,True,Jump Shot,LAC,LAL,234,10,203584,146,24+ ft.,Right Side(R),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,2,55
P. Beverley,25,3,False,Jump Shot,LAC,LAL,-101,236,201976,149,24+ ft.,Left Side Center(LC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,2,36
L. Williams,16,2,True,Pullup Jump shot,LAC,LAL,5,164,101150,151,16-24 ft.,Center(C),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0021900002,20191022,1,2,26
Q. Cook,1,2,True,Driving Layup Shot,LAC,LAL,-13,10,1626188,152,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,2,10
A. Davis,1,2,True,Driving Layup Shot,LAC,LAL,-13,10,203076,157,Less Than 8 ft.,Center(C),20191022,LAC,LAL,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,1,49
M. Harrell,10,2,False,Jump Shot,LAC,LAL,85,53,1626149,158,8-16 ft.,Right Side(R),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0021900002,20191022,1,1,35
K. Leonard,8,2,True,Turnaround Fadeaway shot,LAC,LAL,22,83,202695,168,8-16 ft.,Center(C),20191022,LAC,LAL,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0021900002,20191022,1,0,59
Q. Cook,18,2,False,Step Back Jump shot,LAC,LAL,107,146,1626188,169,16-24 ft.,Right Side Center(RC),20191022,LAC,LAL,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0021900002,20191022,1,0,44
