player_id,game_id,pos,fgm,fga,pts,oreb,dreb,stl,blk
1627820,21900295,Guard,0,0,0,0,0,1,0
1629027,21900295,Guard,10,19,24,0,1,0,0
1629065,21900295,Guard,5,10,10,2,6,3,1
1629673,21900295,Guard,0,5,0,0,2,3,1
201571,21900308,Guard,2,8,11,1,2,1,0
201937,21900308,Guard,2,9,4,2,1,1,0
203082,21900308,Guard,7,14,22,0,3,2,0
203095,21900308,Guard,9,15,21,1,1,1,0
203705,21900308,Guard,0,1,1,0,1,0,0
1626164,21900308,Guard,7,16,17,0,3,0,0
1628365,21900308,Guard,6,12,13,0,4,0,1
1628975,21900308,Guard,0,3,0,0,2,1,0
1628982,21900308,Guard,0,1,0,0,0,0,0
1629660,21900308,Guard,2,6,5,0,1,2,0
200765,21900329,Guard,2,2,6,0,3,2,1
201980,21900329,Guard,1,3,3,0,5,1,1
203081,21900329,Guard,9,18,29,0,7,0,0
203145,21900329,Guard,3,9,10,0,2,0,0
203468,21900329,Guard,5,13,15,0,3,1,0
203484,21900329,Guard,1,3,5,0,0,1,0
203584,21900329,Guard,3,5,9,0,1,1,0
203918,21900329,Guard,0,1,0,0,2,1,0
1626188,21900329,Guard,1,3,2,0,0,0,0
1627936,21900329,Guard,2,4,8,0,1,1,0
1629014,21900329,Guard,5,10,15,0,2,0,0
202688,21900332,Guard,3,7,7,0,1,0,0
203504,21900332,Guard,9,12,21,2,0,4,0
203521,21900332,Guard,2,4,4,0,0,1,0
203526,21900332,Guard,4,6,9,0,0,2,0
203903,21900332,Guard,3,7,10,1,2,0,0
1627732,21900332,Guard,12,14,34,0,3,1,2
1627788,21900332,Guard,2,5,5,0,4,1,0
1629003,21900332,Guard,2,6,5,0,1,0,0
1629012,21900332,Guard,3,13,10,0,0,1,0
1629636,21900332,Guard,7,20,17,3,2,0,0
1629645,21900332,Guard,2,5,7,0,4,1,0
1629680,21900332,Guard,0,2,0,0,0,0,1
101150,21900343,Guard,2,19,6,0,1,0,1
201976,21900343,Guard,5,7,11,1,11,3,0
203087,21900343,Guard,5,12,12,2,2,1,0
204456,21900343,Guard,3,9,8,1,2,0,1
1627763,21900343,Guard,7,15,20,0,0,2,0
1628410,21900343,Guard,0,1,0,0,0,0,0
1628476,21900343,Guard,1,2,3,0,2,1,0
1628988,21900343,Guard,1,7,4,0,3,1,0
1629010,21900343,Guard,1,2,2,0,3,0,0
201587,21900352,Guard,0,2,0,1,1,0,0
202397,21900352,Guard,6,13,13,0,0,0,1
203078,21900352,Guard,6,19,16,2,2,0,1
1626179,21900352,Guard,5,14,17,2,6,1,0
1628370,21900352,Guard,2,6,6,0,3,0,0
1628972,21900352,Guard,0,4,4,0,8,3,0
1628984,21900352,Guard,9,19,29,0,1,2,1
1629067,21900352,Guard,0,3,0,1,0,1,1
1629185,21900352,Guard,2,5,6,0,2,1,0
201158,21900396,Guard,0,5,0,0,2,0,0
201566,21900396,Guard,11,25,31,2,8,1,1
201935,21900396,Guard,10,29,28,3,5,1,1
201942,21900396,Guard,5,13,12,0,5,0,0
201988,21900396,Guard,1,4,4,0,1,0,0
203085,21900396,Guard,1,5,2,0,2,1,0
203463,21900396,Guard,6,11,17,0,3,1,0
1627749,21900396,Guard,8,15,16,2,3,2,1
1627854,21900396,Guard,6,12,18,0,2,1,0
1628401,21900396,Guard,4,9,16,1,5,0,0
1629022,21900396,Guard,0,1,0,0,2,0,0
201571,21900414,Guard,4,9,18,0,3,0,0
203082,21900414,Guard,3,8,8,0,2,0,0
203095,21900414,Guard,4,10,13,0,1,1,1
203115,21900414,Guard,4,11,9,0,9,2,0
203487,21900414,Guard,3,4,6,1,3,4,0
203914,21900414,Guard,3,7,9,1,4,1,1
1627736,21900414,Guard,1,2,3,1,1,0,0
1627750,21900414,Guard,11,19,33,1,4,1,0
1628365,21900414,Guard,4,10,10,0,1,1,1
1628420,21900414,Guard,2,4,5,0,0,2,0
201571,21900428,Guard,6,16,17,0,1,0,0
203081,21900428,Guard,13,21,36,0,3,1,0
203082,21900428,Guard,3,11,9,1,1,1,0
203095,21900428,Guard,7,17,16,0,2,1,0
203145,21900428,Guard,4,8,11,0,4,1,1
203468,21900428,Guard,12,20,31,0,7,1,0
203487,21900428,Guard,0,2,0,0,2,0,0
