player_id,game_id,pos,fgm,fga,pts,oreb,dreb,stl,blk
1628418,21900901,Center,5,6,12,1,1,1,2
203999,21900913,Center,7,15,16,4,9,1,2
203497,21900921,Center,7,8,18,4,10,0,2
1628396,21900921,Center,4,4,8,1,4,0,2
203473,21900969,Center,3,8,6,4,9,1,0
1629011,21900969,Center,7,7,16,4,2,1,2
203497,21901231,Center,5,9,14,2,10,0,3
1628396,21901231,Center,2,2,4,3,2,1,1
1629637,21901231,Center,1,2,3,5,2,0,0
2730,21901232,Center,0,0,1,2,1,1,0
201580,21901232,Center,3,4,6,4,3,2,0
1627826,21901232,Center,1,3,2,1,2,1,1
202696,21901233,Center,8,12,22,0,7,0,0
203920,21901233,Center,3,6,12,2,2,1,2
1628386,21901233,Center,7,9,14,2,3,0,0
1628964,21901233,Center,0,3,0,1,1,1,0
1629743,21901233,Center,3,3,8,2,1,0,1
1628418,21901235,Center,4,12,10,1,6,2,0
1629028,21901235,Center,11,14,24,3,9,0,2
2730,21901243,Center,2,2,5,2,3,0,1
201188,21901243,Center,3,7,8,0,7,0,0
201580,21901243,Center,1,3,3,1,3,0,1
202355,21901245,Center,2,2,5,1,4,0,0
202683,21901245,Center,4,7,11,5,3,0,1
203994,21901245,Center,12,20,30,3,6,2,1
202696,21901247,Center,9,14,23,2,10,2,0
203920,21901247,Center,0,1,5,3,2,0,0
1628964,21901247,Center,0,1,0,1,0,0,1
1626246,21901249,Center,4,6,8,2,1,0,0
1629028,21901249,Center,3,8,7,3,5,0,0
201188,21901250,Center,1,2,6,1,5,1,0
1628389,21901250,Center,5,9,10,1,7,1,1
1626167,21901252,Center,7,13,17,2,7,0,2
1628418,21901252,Center,9,12,20,4,7,0,3
202685,21901253,Center,5,9,13,1,12,1,4
1629637,21901253,Center,0,0,2,0,2,0,0
201143,21901254,Center,4,7,9,3,3,0,2
203954,21901254,Center,9,17,27,2,7,1,0
1627751,21901254,Center,2,4,4,3,1,1,1
2730,21901255,Center,4,4,11,1,4,1,1
201580,21901255,Center,0,1,0,0,1,0,0
203497,21901255,Center,6,6,16,2,11,0,1
1628396,21901255,Center,2,2,5,3,2,0,1
201577,21901256,Center,1,4,2,1,1,0,2
1629743,21901256,Center,2,4,4,3,6,1,2
